Data/Hora: 2025-06-05 12:55:58 | Usuário: rodrigo | IP Local: 186.194.146.95 | App: ViKinG Autopick
Data/Hora: 2025-06-05 17:34:26 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-05 18:02:38 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-05 18:21:53 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-05 18:26:41 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-05 18:28:57 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-05 18:55:29 | Usuário: rafael | IP Local: 192.168.137.1 | App: ViKinG Autopotion
Data/Hora: 2025-06-05 19:20:24 | Usuário: bryan | IP Local: 189.63.138.44 | App: ViKinG Autopick
Data/Hora: 2025-06-05 19:33:07 | Usuário: rodrigo | IP Local: 186.194.146.95 | App: ViKinG Autopick
Data/Hora: 2025-06-05 21:02:22 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 00:07:43 | Usuário: anjovip | IP Local: 177.86.139.39 | App: ViKinG Autopick
Data/Hora: 2025-06-06 02:32:27 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 03:27:12 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 05:17:17 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 09:33:58 | Usuário: rodrigohospital | IP Local: 177.73.104.64 | App: ViKinG Autopick
Data/Hora: 2025-06-06 14:42:42 | Usuário: lucas | IP Local: 45.160.36.168 | App: ViKinG Autopick
Data/Hora: 2025-06-06 14:45:14 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 18:38:51 | Usuário: rafael | IP Local: 192.168.137.1 | App: ViKinG Autopotion
Data/Hora: 2025-06-06 18:43:35 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 18:46:27 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 18:47:38 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 18:53:15 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:43:32 | Usuário: julio | IP Local: 168.232.161.156 | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:45:47 | Usuário: julio | IP Local: 168.232.161.156 | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:46:30 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:46:51 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:47:24 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:49:34 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 20:48:33 | Usuário: rodrigo | IP Local: 186.194.146.95 | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:53:51 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:54:38 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 21:58:01 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:03:32 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:05:38 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:06:29 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:08:42 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:10:02 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:13:05 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:13:53 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:14:58 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:17:08 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:18:23 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:19:12 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:22:15 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:25:55 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:34:19 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:37:00 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:37:19 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:39:54 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:41:21 | Usuário: rafaelvip | IP Local: 200.53.197.99 | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:40:42 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:47:22 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 22:54:47 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 23:05:20 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 23:37:32 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 23:38:21 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 23:53:02 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-06 23:57:08 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 00:09:22 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 00:10:30 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 00:17:49 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 00:18:39 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 01:08:33 | Usuário: rafael | IP Local: 192.168.137.1 | App: ViKinG Autopotion
Data/Hora: 2025-06-07 01:34:08 | Usuário: victor | IP Local: 168.196.89.200 | App: ViKinG Autopick
Data/Hora: 2025-06-07 01:37:23 | Usuário: victor | IP Local: 168.196.89.200 | App: ViKinG Autopick
Data/Hora: 2025-06-07 02:15:42 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
Data/Hora: 2025-06-07 02:43:14 | Usuário: admin | IP Local: [OCULTO] | App: ViKinG Autopick
